"fertig sein mit (+ Dat)";"закончить с (чем-то)";"Bist du mit der Arbeit schon fertig?";"Ты уже закончил с работой?"
"seitdem";"с тех пор как";"Seitdem ich in Berlin wohne, fahre ich viel Fahrrad.";"С тех пор как я живу в Берлине, я много езжу на велосипеде."
"eine Entscheidung treffen";"принять решение";"Wir müssen bald eine wichtige Entscheidung treffen.";"Нам скоро нужно принять важное решение."
"erledigen";"выполнять, улаживать (доводить до конца)";"Ich muss heute noch ein paar Dinge erledigen.";"Мне сегодня нужно ещё уладить пару дел."
"der Vorteil (-e)";"преимущество";"Ein großer Vorteil dieser Wohnung ist der Balkon.";"Большое преимущество этой квартиры — балкон."
"der Nachteil (-e)";"недостаток";"Der Nachteil ist, dass es hier sehr laut ist.";"Недостаток в том, что здесь очень шумно."
"schwänzen";"прогуливать, пропускать (занятия)";"Er hat heute die Schule geschwänzt.";"Сегодня он прогулял школу."
"der Grund (Gründe)";"причина";"Das ist der Grund, warum wir umgezogen sind.";"Вот причина, почему мы переехали."
"umziehen (ist umgezogen)";"переезжать";"Nächsten Monat ziehen wir nach Köln um.";"В следующем месяце мы переезжаем в Кёльн."
"so … wie";"так(ой) же … как";"Dieses Brot ist so gut wie jenes.";"Этот хлеб такой же вкусный, как тот."
"jener / jene / jenes";"тот / та / то";"Dieses Buch gefällt mir besser als jenes.";"Эта книга нравится мне больше, чем та."
"ab und zu";"время от времени";"Ab und zu gehe ich ins Theater.";"Время от времени я хожу в театр."
"von Zeit zu Zeit";"время от времени";"Von Zeit zu Zeit rufe ich meine alten Freunde an.";"Время от времени я звоню старым друзьям."
"hin und her";"туда-сюда";"Er läuft nervös im Zimmer hin und her.";"Он нервно ходит по комнате туда-сюда."
"einige";"несколько";"Ich habe noch einige Fragen an Sie.";"У меня к вам ещё несколько вопросов."
"erwarten";"ожидать";"Wir erwarten morgen wichtige Gäste.";"Завтра мы ждём важных гостей."
"operieren";"оперировать";"Der Arzt muss den Patienten sofort operieren.";"Врач должен немедленно прооперировать пациента."
"werden + Partizip II (Passiv)";"пассив: действие важнее, чем кто его делает";"Das Buch wird von vielen Menschen gelesen.";"Эту книгу читают многие люди."
"abhängig von (+ Dat)";"зависимый от";"Viele Menschen sind zu abhängig von ihrem Handy.";"Многие люди слишком зависимы от своего телефона."
"sich vorbereiten auf (+ Akk)";"готовиться к";"Ich bereite mich gerade auf die Prüfung vor.";"Я сейчас готовлюсь к экзамену."
"die Prüfung (-en)";"экзамен";"Die Prüfung war schwerer als erwartet.";"Экзамен оказался сложнее, чем ожидалось."
"sich interessieren für (+ Akk)";"интересоваться";"Wofür interessierst du dich in deiner Freizeit?";"Чем ты интересуешься в свободное время?"
"gratulieren zu (+ Dat)";"поздравлять с";"Ich gratuliere dir zum Geburtstag!";"Поздравляю тебя с днём рождения!"
"sich zurückhalten";"сдерживаться";"Beim Essen konnte ich mich kaum zurückhalten.";"За едой я едва мог сдержаться."
"kaum";"едва, почти не";"Ich kann es kaum glauben.";"Я едва могу в это поверить."
"verschieden";"разный, различный";"Wir haben ganz verschiedene Meinungen.";"У нас совершенно разные мнения."
"sich treffen (mit + Dat)";"встречаться";"Wir treffen uns morgen um drei vor dem Kino.";"Мы встречаемся завтра в три у кинотеатра."
"sich ärgern über (+ Akk)";"сердиться, злиться на";"Ich ärgere mich über den schlechten Service.";"Я злюсь из-за плохого обслуживания."
"worüber";"о чём";"Worüber habt ihr so lange gesprochen?";"О чём вы так долго разговаривали?"
"wovon";"о чём; от чего";"Wovon träumst du am meisten?";"О чём ты мечтаешь больше всего?"
"schmeißen (eine Party schmeißen)";"швырять; (разг.) закатить вечеринку";"Am Samstag schmeißen wir eine große Party.";"В субботу мы закатываем большую вечеринку."
"veranstalten";"устраивать, организовывать";"Die Schule veranstaltet jedes Jahr ein Sommerfest.";"Школа каждый год устраивает летний праздник."
"die Veranstaltung (-en)";"мероприятие";"Die Veranstaltung beginnt um acht Uhr.";"Мероприятие начинается в восемь часов."
"organisieren";"организовывать";"Wer organisiert die Feier dieses Jahr?";"Кто организует праздник в этом году?"
"sich engagieren für (+ Akk)";"активно участвовать, быть вовлечённым";"Sie engagiert sich für den Umweltschutz.";"Она активно занимается защитой окружающей среды."
"das Engagement für (+ Akk)";"вовлечённость, активное участие";"Sein Engagement für die Schule ist beeindruckend.";"Его участие в жизни школы впечатляет."
"eine Prüfung ablegen / absolvieren / bestehen";"сдавать / сдать экзамен";"Nächste Woche lege ich meine Prüfung ab und hoffentlich bestehe ich sie.";"На следующей неделе я сдаю экзамен и, надеюсь, сдам его."
"an etwas teilnehmen (an + Dat)";"участвовать в";"Ich möchte an dem Sprachkurs teilnehmen.";"Я хочу принять участие в языковом курсе."
"eine Aufgabe lösen";"решать задачу/задание";"Diese Aufgabe konnte ich schnell lösen.";"Это задание я смог быстро решить."
"eine Frage stellen";"задавать вопрос";"Darf ich Ihnen eine Frage stellen?";"Можно задать вам вопрос?"
"eine Frage beantworten";"отвечать на вопрос";"Können Sie mir diese Frage beantworten?";"Можете ответить мне на этот вопрос?"
"eine Lösung finden";"находить решение";"Gemeinsam finden wir bestimmt eine Lösung.";"Вместе мы наверняка найдём решение."
"präsentieren";"представлять, презентовать";"Morgen präsentiere ich mein Projekt vor der Klasse.";"Завтра я представляю свой проект перед классом."
"aufschreiben";"записывать";"Schreib dir die neuen Wörter auf!";"Запиши себе новые слова!"
"nachschlagen";"смотреть (в словаре/справочнике)";"Dieses Wort musst du im Wörterbuch nachschlagen.";"Это слово тебе нужно посмотреть в словаре."
